topic,epoch,temperature,sample_idx,text,cos_to_bg
Nature,10,0.1,1,"One night two young men from Egulac went down to the river to hunt seals and while they were there it became foggy and calm. Then they heard war-cries, and they thought: ""Maybe this is a war-party"". They escaped to the shore, and hid behind a log. Now canoes came up, and they heard the noise of paddles, and saw one canoe coming up to them. There were five men in the canoe, and they said: ""What do you think? We wish to take you along. We are going up the river to make war on the people."" One of the young men said, ""I have no arrows."" ""Arrows are in the canoe,"" they said. ""I will not go along. I might be killed. My relatives do not know where I have gone. But you,"" he said, turning to the other, ""may go with them."" So one of the young men went, but the other returned home. And the warriors went on up the river to a town on the other side of Kalama. The people came down to the water and they began to fight, and many were killed. But presently the young man heard one of the warriors say, ""Quick, let us go home: that man has been hit."" Now he thought: ""Oh, they are ghosts."" He did not feel sick, but they said he had been shot. So the canoes went back to Egulac and the young man went ashore to his house and made a fire. And he told everybody and said: ""Behold I accompanied the ghosts, and we went to fight. Many of our fellows were killed. Now quickly, let us go and bury them.""


== Information == The story is a part of the oral tradition of the Ktunaxa people, and was recorded by Frank Speck in 1928. The story is told from the perspective of one of the two young men who went down",0.9043594375252724
Nature,10,0.1,2,"One night two young men from Egulac went down to the river to hunt seals and while they were there it became foggy and calm. Then they heard war-cries, and they thought: ""Maybe this is a war-party"". They escaped to the shore, and hid behind a log. Now canoes came up, and they heard the noise of paddles, and saw one canoe coming up to them. There were five men in the canoe, and they said: ""What do you think? We wish to take you along. We are going up the river to make war on the people."" One of the young men said, ""I have no arrows."" ""Arrows are in the canoe,"" they said. ""I will not go along. I might be killed. My relatives do not know where I have gone. But you,"" he said, turning to the other, ""may go with them."" So one of the young men went, but the other returned home. And the warriors went on up the river to a town on the other side of Kalama. The people came down to the water and they began to fight, and many were killed. But presently the young man heard one of the warriors say, ""Quick, let us go home: that man has been hit."" Now he thought: ""Oh, they are ghosts."" He did not feel sick, but they said he had been shot. So the canoes went back to Egulac and the young man went ashore to his house and made a fire. And he told everybody and said: ""Behold I accompanied the ghosts, and we went to fight. Many of our fellows were killed. Now quickly let us prepare a feast, for I have been with the dead.""  Source: Lewis and Harris, 1937  See also: Egulac, Kalama, war party


== Notes ==  This story is from the oral tradition of the Kwakiutl people, and",0.9043594375252724
Nature,10,0.1,3,"One night two young men from Egulac went down to the river to hunt seals and while they were there it became foggy and calm. Then they heard war-cries, and they thought: ""Maybe this is a war-party"". They escaped to the shore, and hid behind a log. Now canoes came up, and they heard the noise of paddles, and saw one canoe coming up to them. There were five men in the canoe, and they said: ""What do you think? We wish to take you along. We are going up the river to make war on the people."" One of the young men said, ""I have no arrows."" ""Arrows are in the canoe,"" they said. ""I will not go along. I might be killed. My relatives do not know where I have gone. But you,"" he said, turning to the other, ""may go with them."" So one of the young men went, but the other returned home. And the warriors went on up the river to a town on the other side of Kalama. The people came down to the water and they began to fight, and many were killed. But presently the young man heard one of the warriors say, ""Quick, let us go home: that man has been hit."" Now he thought: ""Oh, they are ghosts."" He did not feel sick, but they said he had been shot. So the canoes went back to Egulac and the young man went ashore to his house and made a fire. And he told everybody and said: ""Behold I accompanied the ghosts, and we went to fight. Many of our fellows were killed. Now quickly let us make a feast, for I have wealth."" His relatives came and they feasted and he told them everything that had happened. He said: ""I did not shoot. I was afraid. I hid behind a log.""

This story is from the Tlingit tribe of the northwest coast of",0.9043594375252724
Nature,10,0.1,4,"One night two young men from Egulac went down to the river to hunt seals and while they were there it became foggy and calm. Then they heard war-cries, and they thought: ""Maybe this is a war-party"". They escaped to the shore, and hid behind a log. Now canoes came up, and they heard the noise of paddles, and saw one canoe coming up to them. There were five men in the canoe, and they said: ""What do you think? We wish to take you along. We are going up the river to make war on the people."" One of the young men said, ""I have no arrows."" ""Arrows are in the canoe,"" they said. ""I will not go along. I might be killed. My relatives do not know where I have gone. But you,"" he said, turning to the other, ""may go with them."" So one of the young men went, but the other returned home. And the warriors went on up the river to a town on the other side of Kalama. The people came down to the water and they began to fight, and many were killed. But presently the young man heard one of the warriors say, ""Quick, let us go home: that man has been hit."" Now he thought: ""Oh, they are ghosts."" He did not feel sick, but they said he had been shot. So the canoes went back to Egulac and the young man went ashore to his house and made a fire. And he told everybody and said: ""Behold I accompanied the ghosts, and we went to fight. Many of our fellows were killed. Now quickly, let us go and bury them.""


== Information == The story is a part of the oral tradition of the Ktunaxa people, and was recorded by Frank Speck in 1928. The story is told from the perspective of one of the two young men who went down",0.9043594375252724
Nature,10,0.1,5,"One night two young men from Egulac went down to the river to hunt seals and while they were there it became foggy and calm. Then they heard war-cries, and they thought: ""Maybe this is a war-party"". They escaped to the shore, and hid behind a log. Now canoes came up, and they heard the noise of paddles, and saw one canoe coming up to them. There were five men in the canoe, and they said: ""What do you think? We wish to take you along. We are going up the river to make war on the people."" One of the young men said, ""I have no arrows."" ""Arrows are in the canoe,"" they said. ""I will not go along. I might be killed. My relatives do not know where I have gone. But you,"" he said, turning to the other, ""may go with them."" So one of the young men went, but the other returned home. And the warriors went on up the river to a town on the other side of Kalama. The people came down to the water and they began to fight, and many were killed. But presently the young man heard one of the warriors say, ""Quick, let us go home: that man has been hit."" Now he thought: ""Oh, they are ghosts."" He did not feel sick, but they said he had been shot. So the canoes went back to Egulac and the young man went ashore to his house and made a fire. And he told everybody and said: ""Behold I accompanied the ghosts, and we went to fight. Many of our fellows were killed. Now quickly, let us go and bury them.""


== Information == The story is a part of the oral tradition of the Ktunaxa people, and was recorded by Frank Speck in 1928. The story is told from the perspective of one of the two young men who went down",0.9043594375252724
Politics,10,0.1,1,"One night two young men from Egulac went down to the river to hunt seals and while they were there it became foggy and calm. Then they heard war-cries, and they thought: ""Maybe this is a war-party"". They escaped to the shore, and hid behind a log. Now canoes came up, and they heard the noise of paddles, and saw one canoe coming up to them. There were five men in the canoe, and they said: ""What do you think? We wish to take you along. We are going up the river to make war on the people."" One of the young men said,""I have no arrows."" ""Arrows are in the canoe,"" they said. ""I will not go along. I might be killed. My relatives do not know where I have gone. But you,"" he said, turning to the other, ""may go with them."" So one of the young men went, but the other returned home. And the warriors went on up the river to a town on the other side of Kalama. The people came down to the water and they began to fight, and many were killed. But presently the young man heard one of the warriors say, ""Quick, let us go home: that man has been hit."" Now he thought: ""Oh, they are ghosts."" He did not feel sick, but they said he had been shot. So the canoes went back to Egulac and the young man went ashore to his house and made a fire. And he told everybody and said: ""Behold I accompanied the ghosts, and we went to fight. Many of our fellows were killed, and many of those who attacked us were killed. They said I was hit, and I did not feel sick."" He told it all, and then he became quiet. When the sun rose he fell down. Something black came out of his mouth. His face was contorted. The people jumped up and cried. He was dead.",0.9951028153300285
Politics,10,0.1,2,"One night two young men from Egulac went down to the river to hunt seals and while they were there it became foggy and calm. Then they heard war-cries, and they thought: ""Maybe this is a war-party"". They escaped to the shore, and hid behind a log. Now canoes came up, and they heard the noise of paddles, and saw one canoe coming up to them. There were five men in the canoe, and they said: ""What do you think? We wish to take you along. We are going up the river to make war on the people."" One of the young men said,""I have no arrows."" ""Arrows are in the canoe,"" they said. ""I will not go along. I might be killed. My relatives do not know where I have gone. But you,"" he said, turning to the other, ""may go with them."" So one of the young men went, but the other returned home. And the warriors went on up the river to a town on the other side of Kalama. The people came down to the water and they began to fight, and many were killed. But presently the young man heard one of the warriors say, ""Quick, let us go home: that man has been hit."" Now he thought: ""Oh, they are ghosts."" He did not feel sick, but they said he had been shot. So the canoes went back to Egulac and the young man went ashore to his house and made a fire. And he told everybody and said: ""Behold I accompanied the ghosts, and we went to fight. Many of our fellows were killed, and many of those who attacked us were killed. They said I was hit, and I did not feel sick."" He told it all, and then he became quiet. When the sun rose he fell down. Something black came out of his mouth. His face was contorted. The people jumped up and cried. He was dead.",0.9951028153300285
Politics,10,0.1,3,"One night two young men from Egulac went down to the river to hunt seals and while they were there it became foggy and calm. Then they heard war-cries, and they thought: ""Maybe this is a war-party"". They escaped to the shore, and hid behind a log. Now canoes came up, and they heard the noise of paddles, and saw one canoe coming up to them. There were five men in the canoe, and they said: ""What do you think? We wish to take you along. We are going up the river to make war on the people."" One of the young men said,""I have no arrows."" ""Arrows are in the canoe,"" they said. ""I will not go along. I might be killed. My relatives do not know where I have gone. But you,"" he said, turning to the other, ""may go with them."" So one of the young men went, but the other returned home. And the warriors went on up the river to a town on the other side of Kalama. The people came down to the water and they began to fight, and many were killed. But presently the young man heard one of the warriors say, ""Quick, let us go home: that man has been hit."" Now he thought: ""Oh, they are ghosts."" He did not feel sick, but they said he had been shot. So the canoes went back to Egulac and the young man went ashore to his house and made a fire. And he told everybody and said: ""Behold I accompanied the ghosts, and we went to fight. Many of our fellows were killed, and many of those who attacked us were killed. They said I was hit, and I did not feel sick."" He told it all, and then he became quiet. When the sun rose he fell down. Something black came out of his mouth. His face was contorted. The people jumped up and cried. He was dead.",0.9951028153300285
Politics,10,0.1,4,"One night two young men from Egulac went down to the river to hunt seals and while they were there it became foggy and calm. Then they heard war-cries, and they thought: ""Maybe this is a war-party"". They escaped to the shore, and hid behind a log. Now canoes came up, and they heard the noise of paddles, and saw one canoe coming up to them. There were five men in the canoe, and they said: ""What do you think? We wish to take you along. We are going up the river to make war on the people."" One of the young men said,""I have no arrows."" ""Arrows are in the canoe,"" they said. ""I will not go along. I might be killed. My relatives do not know where I have gone. But you,"" he said, turning to the other, ""may go with them."" So one of the young men went, but the other returned home. And the warriors went on up the river to a town on the other side of Kalama. The people came down to the water and they began to fight, and many were killed. But presently the young man heard one of the warriors say, ""Quick, let us go home: that man has been hit."" Now he thought: ""Oh, death has come to me."" But the warriors made haste to escape from the water, and the young man said, ""I will do as they do."" So he swam to his companion and said, ""Tell my mother I was killed in battle, and tell my wife I was killed in battle."" Now the other young man went home to his people, and said, ""I have good news and bad news. The good news is that our enemies have been killed. The bad news is that my companion was killed."" Now the mourning was done, and the people came to get the bodies. They looked for the young man's body, but could not find it. He had hidden",0.9951028153300285
Politics,10,0.1,5,"One night two young men from Egulac went down to the river to hunt seals and while they were there it became foggy and calm. Then they heard war-cries, and they thought: ""Maybe this is a war-party"". They escaped to the shore, and hid behind a log. Now canoes came up, and they heard the noise of paddles, and saw one canoe coming up to them. There were five men in the canoe, and they said: ""What do you think? We wish to take you along. We are going up the river to make war on the people."" One of the young men said,""I have no arrows."" ""Arrows are in the canoe,"" they said. ""I will not go along. I might be killed. My relatives do not know where I have gone. But you,"" he said, turning to the other, ""may go with them."" So one of the young men went, but the other returned home. And the warriors went on up the river to a town on the other side of Kalama. The people came down to the water and they began to fight, and many were killed. But presently the young man heard one of the warriors say, ""Quick, let us go home: that man has been hit."" Now he thought: ""Oh, they are ghosts."" He did not feel sick, but they said he had been shot. So the canoes went back to Egulac and the young man went ashore to his house and made a fire. And he told everybody and said: ""Behold I accompanied the ghosts, and we went to fight. Many of our fellows were killed, and many of those who attacked us were killed. They said I was hit, and I did not feel sick."" He told it all, and then he became quiet. When the sun rose he fell down. Something black came out of his mouth. His face was contorted. The people jumped up and cried. He was dead.",0.9951028153300285
Universe,10,0.1,1,"One night two young men from Egulac went down to the river to hunt seals and while they were there it became foggy and calm. Then they heard war-cries, and they thought: ""Maybe this is a war-party"". They escaped to the shore, and hid behind a log. Now canoes came up, and they heard the noise of paddles, and saw one canoe coming up to them. There were five men in the canoe, and they said: ""What do you think? We wish to take you along. We are going up the river to make war on the people."" One of the young men said,""I have no arrows."" ""Arrows are in the canoe,"" they said. ""I will count how many there are."" When they had counted them he said, ""There are five arrows."" ""Good!"" they said. ""Sometimes we shoot one, and sometimes we shoot two."" But, just as they were going to start, there came a loud noise behind them, and they said, ""Wow! How scary! That must have been a bear!"" One of the young men said, ""I will go and get some sticks."" When he had got some sticks he gave one arrow to each of the others, and they began to shoot.
They had not shot a single arrow when a voice came from the canoe, ""Why do you shoot arrows at night?"" ""We thought it was a war-party,"" they said. ""Where are the war-parties?"" ""They have gone to the sandbars."" ""But we are not war-parties; we are canoes full of young men."" ""Sometimes war-parties come in canoes."" ""That may be so,"" they said, ""but we are not war-parties."" ""What is the difference between war-parties and not war-parties?"" ""The difference is that war-parties shoot arrows in the daytime, and not at night."" """,1.142607420682907
Universe,10,0.1,2,"One night two young men from Egulac went down to the river to hunt seals and while they were there it became foggy and calm. Then they heard war-cries, and they thought: ""Maybe this is a war-party"". They escaped to the shore, and hid behind a log. Now canoes came up, and they heard the noise of paddles, and saw one canoe coming up to them. There were five men in the canoe, and they said: ""What do you think? We wish to take you along. We are going up the river to make war on the people."" One of the young men said,""I have no arrows."" ""Arrows are in the canoe,"" they said. ""I will count how many there are."" He counted them and said, ""There are five."" ""Do you see a rifle here?"" They gave him a rifle, and he shot one arrow from it. Then they started the canoes again, and as they went along the coast they sang war-songs.
They also played a game while they were paddling, a kind of guessing game. One would sing a song and the other would try to guess what it was about. Sometimes one would sing about a lost child, or a lover who had gone away, or a canoe that had capsized and the occupants had drowned. One sang:

""That night we had a windy weather,
The weather was foggy, foggy.
The thunder broke, and the lightning flashed.
The waves rolled on, the waves rolled on.
We were paddling in the canoe,
We were paddling in the canoe.
I was standing up in the canoe,
My mother, she was crying, crying.
She said: 'Oh, my son, my son is dead!
My son was paddling in the canoe.
The waves rolled on, the waves rolled on.

""That",1.1222059577703476
Universe,10,0.1,3,"One night two young men from Egulac went down to the river to hunt seals and while they were there it became foggy and calm. Then they heard war-cries, and they thought: ""Maybe this is a war-party"". They escaped to the shore, and hid behind a log. Now canoes came up, and they heard the noise of paddles, and saw one canoe coming up to them. There were five men in the canoe, and they said: ""What do you think? We wish to take you along. We are going up the river to make war on the people."" One of the young men said,""I have no arrows."" ""Arrows are in the canoe,"" they said. ""I will count how many there are."" When they had counted them twice they said: ""There are five arrows."" ""But I see only four,"" said the young man. ""There are five arrows,"" they said. ""I will count them again."" When he had counted them twice again he said: ""There are four arrows."" They gave him an arrow, and said: ""Do you think there are any fishes in the river?"" ""Yes,"" he said. ""There are five fishes in the river."" ""Do you think there are any bones in the fish?"" ""Yes,"" he said. ""There are five bones in the fish."" ""Do you think there are any teeth in the fish?"" ""Yes,"" he said. ""There are five teeth in the fish."" ""Now put in your arrows, and let us go to the people and fight with them."" 
They went on and fought with the people. The other young man also joined them. And they killed some of the people and seized their possessions, and they became very angry with the first young man because he had taken away their arrows. And they took away the arrows, and went away. And the young man who had remained behind became sick, and was not able to join his relative",1.108028993010521
Universe,10,0.1,4,"One night two young men from Egulac went down to the river to hunt seals and while they were there it became foggy and calm. Then they heard war-cries, and they thought: ""Maybe this is a war-party"". They escaped to the shore, and hid behind a log. Now canoes came up, and they heard the noise of paddles, and saw one canoe coming up to them. There were five men in the canoe, and they said: ""What do you think? We wish to take you along. We are going up the river to make war on the people."" One of the young men said,""I have no arrows."" ""Arrows are in the canoe,"" they said. ""I will count how many there are."" When they had counted them he said, ""There are five arrows."" ""Good!"" they said. ""Sometimes we shoot one, and sometimes we shoot two."" But, just as they were going to start, there came a loud noise behind them, and they turned back. It was an old man and an old woman. ""Why did you turn back?"" they said. ""You are going to be beaten."" ""We are going to gather more arrows,"" they said.
They went away again, and after a long time they heard a loud noise of many arrows, and they said: ""Oh, they are killing each other."" And they wished that it might be so. Then they said: ""We must go and look."" They went down to the river and looked, and saw that it was the two young men fighting, and that they were shooting arrows at each other. ""Why do you shoot arrows at each other?"" they said. ""Why do you not make peace?"" they said. ""We are going to fetch more arrows."" They went away again, and when they had gathered together all their arrows they came back and stood before the two young men. ""Why do you shoot arrows at each other?"" they",1.1388231366872787
